"LIVERPOOL XALAPA";"Carretera Xalapa-Veracruz Km. 2.5. No. 680. Ancla 1. Col. Pastoresa. Las Américas Xalapa.";"91193";"MX"
"LIVERPOOL LINDAVISTA";"Colector 13 No. 280. Colonia Magdalena de las Salinas. Plaza Parque Lindavista.";"7760";"MX"
"LIVERPOOL COLIMA";"Tercer Anillo Periférico Oriente No. 301. Esquina con Prol. Ignacio Sandoval. Colonia Las Primaveras.";"28040";"MX"
"LIVERPOOL COATZACOALCOS";"Av. Universidad Veracruzana km. 8 s/n. Col. Santa Rosa. Ampl. Plaza Forum.";"96535";"MX"
"LIVERPOOL AGUASCALIENTES";"Blvd. de Zacatecas Norte No. 851, Colonia Trojes de Alonso,";"20200";"MX"
"LIVERPOOL TEZONTLE";"Av. Canal de Tezontle No. 1512. Colonia Dr. Alfonso Ortiz Tirado. Centro Comercial Parque Tezontle.";"9020";"MX"
"LIVERPOOL TEPIC";"Blvd. Luis Donaldo Colosio No.680. Colonia Benito Juárez.";"63175";"MX"
"LIVERPOOL DURANGO";"Blvd. Felipe Pescador No. 1401. Colonia Esperanza.";"34080";"MX"
"LIVERPOOLIVERPOOL CAMPECHE";"Av. Pedro Sainz de Baranda No. 139 Colonia Ermita Área de AH Kim Pech";"24000";"MX"
"LIVERPOOL INTERLOMAS";"Vialidad de la Barranca No.6. Colonia Exhacienda Jesús del Monte";"52787";"MX"
"LIVERPOOL ATIZAPAN";"Av. Ruíz Cortines No. 501. Colonia Lomas de Atizapán.";"52977";"MX"
"LIVERPOOL CELAYA";"Avenida Eje Nor-Oriente 200 Interior L1. Col. las Compuertas del Campestre.";"38080";"MX"
"LIVERPOOL MTY CUMBRES";"Av. Hacienda Peñuelas 6769. Colonia Cumbres las Palmas.";"64619";"MX"
"LIVERPOOL SUC. 117 MAZATLÁN NUEVO";"Av. del Delfín No. 64. Fracc. La Marina.";"82100";"MX"
"LIVERPOOL. ORIZABA";"Av. Circunvalación No. 1430. Colonia EL Espinal.";"94330";"MX"
"LIVERPOOL CIUDAD VICTORIA";"Carretera a Monterrey esq. libramiento Naciones Unida. Col. Ejidos Benito Juárez, Ciudad Victoria";"";"MX"
"LIVERPOOL ZACATECAS";"Av. Héroes de Chapultepec domicilio conocido. Antigua Unidad Minera, El Bote. Cd. Argentum. Zacatecas, Zacatecas.";"98040";"MX"
"LIVERPO ALTABRISA";"Blvd. Circuito Interior Carlos Pellicer Cámara # 129 Colonia Primero de Mayo Centro Comecial Altabrisa.";"86190";"MX"
"LIVERPOOL OBLATOS";"Av. Circunvalación 2700. Colonia Oblatos.";"44700";"MX"
"LIVERPOOL SAN LUIS POTOSI";"Blvd. Antonio Rocha Cordero No. 700 esq. Av. Sierra Vista Poniente. Col. Fracc. Lomas del Tecnológic";"78216";"MX"
"LIVERPOOL LEÓN ARENA";"Blvd. Adolfo López Mateos #1102 Ote. Col. Los Gavilanes";"37270";"MX"
"LIVERPOOL CD JARDÍN";"Avenida Bordo de Xochiaca #3, ";"57205";"MX"
"LIVERPOOL SUC. 173 JURIQUILLA";"Paseo de la Republica, Antea Lifestyle Center, COL. Juriquilla";"";"MX"
"LIVERPOOL LAGO DE GUADALUPE";" Lago de Guadalupe S/N Lt. 2 Local SA03 Col. San Pedro Barrientos";"54010";"MX"
"LIVERPOOL TEHUACAN";"Av. Adolfo López Mateos No. 3800. Colonia San Lorenzo Teotipilco. Centro Comercial El Paseo.";"75710";"MX"
"LIVERPOOL SAN MIGUEL DE ALLENDE";"Libramiento José Manuel Zavala Zavala No. 165. Colonia La Luciérnaga  Local 4A. Plaza La Luciérnaga.";"37745";"MX"
"LIVERPOOL CD. DEL CARMEN COLIMA";"Av. Pedro Sainz de Baranda No. 139 Colonia Ermita Área de AH Kim Pech.";"24000";"MX"
"LIVERPOOL LOS MOCHIS";"Blvd. Centenario 850 Poniente. Col. Sector Centro Ahome Los Mochis, Sinaloa.";"81270";"MX"
"LIVERPOOL ACAPULCO";"Blvd. de las Naciones 1813, Lote 1, Manzana 5 esq. Costera de las Palmas. Fracc. Playa Diamante. Acapulco, Guerrero.";"39970";"MX"
"LIVERPOOL SALINA CRUZ";"Carretera Transísmica Km 12. Colonia Granadillo, SP 70613 COL. Salina Cruz, Salina Cruz, Oaxaca";"";"MX"
"LIVERPOOL SAN JUAN DEL RÍO";"Boulevard Carretera Panamericana No. 202. Colonia la Venta,";"76800";"MX"
"LIVERPOOL TOLUCA";"Paseo Tollocan Calle Robert Fulton Santa Ana Tlapaltitlan";"50160";"MX"
"LIVERPOOL PUEBLA SERDAN";"Boulevard Hermanos Serdan 270 Col. Rancho Posadas";"72062";"MX"
"LIVERPOOL PLAZA CENTRAL";"Eje 4 Ote., Av Río Churubusco, área Federal Central de Abastos, Iztapalapa, DF";"";"MX"
"LIVERPOOL CHETUMAL";"Av. Insurgentes Km. 5.025 s/n. Local A1. Plaza Las Américas. Colonia Emancipación de México.";"77084";"MX"
"LIVERPOOL CIUDAD JUAREZ";"Av. Paseo de la Victoria y Blvd. Teófilo Borunda No. 8681. Col. Partido Iglesias";"32618";"MX"
"FABRICAS DE FRANCIA TAPACHULA";"4ta. Avénida Sur. Prolongación Puerto Madero s/n. Zona D12. Colonia Cantarrana.";"30797";"MX"
"LIVERPOOL LA PAZ";"Av. Agustín Olachea Lote 7 y 8 s/n esq. Pino Pallas Colonia Fidepaz,";"23090";"MX"
"LIVERPOOL CHILPANCINGO";"René Juárez Cisneros Predio Tepango";"39095";"MX"
